query_description,query_code,true_usda_code,candidate_description,candidate_code,candidate_usda_code,forward_similarity,backward_similarity,is_correct_match
6oz cho ny strip stk spec trim,144142,175 3 Loin strip loin 1x1_Choice,choice ny strip stk cc 8/24oz,143005,NOT_FOUND,0.7437830567359924,0.7437826898195522,False
6oz cho ny strip stk spec trim,144142,175 3 Loin strip loin 1x1_Choice,"strip steak ny, spec trim, ch, 8oz",144083,NOT_FOUND,0.6959982514381409,0.6959980752327413,False
6oz cho ny strip stk spec trim,144142,175 3 Loin strip loin 1x1_Choice,"strip steak ny, spec trim, ch, 12oz",144123,NOT_FOUND,0.6937820315361023,0.6937823102483518,False
6oz cho ny strip stk spec trim,144142,175 3 Loin strip loin 1x1_Choice,bf trim spec->cubed stk-00-oz 10#,10510,NOT_FOUND,0.6929222941398621,0.6929220968888496,False
6oz cho ny strip stk spec trim,144142,175 3 Loin strip loin 1x1_Choice,"strip steak ny, spec trim, ch, 14oz",144143,NOT_FOUND,0.6926606297492981,0.6926608829062783,False
"ball tip, ch, 2up, cs lo",144021,185b Ball Tip,"ball tip, ch, 2up",144022,NOT_FOUND,0.9074634313583374,0.9074634934492756,False
"ball tip, ch, 2up, cs lo",144021,185b Ball Tip,"ball tip, no roll, 2up, cs lot",146020,NOT_FOUND,0.7841843366622925,0.7841839105728676,False
"ball tip, ch, 2up, cs lo",144021,185b Ball Tip,"ball-tip bnls, national (ch)",15191024,NOT_FOUND,0.6598788499832153,0.6598788816611325,False
"ball tip, ch, 2up, cs lo",144021,185b Ball Tip,"sirloin ball tip, diced, ch, 1.5"" 2/5#pk",144024,NOT_FOUND,0.6238663196563721,0.6238662725559689,False
"ball tip, ch, 2up, cs lo",144021,185b Ball Tip,"ball-tip bnls, greateromaha (ch)",15191004,NOT_FOUND,0.617680013179779,0.6176800244737193,False
"ball-tip bnls, ibp (ch)",15191014,185 1 Ball tips,"ball-tip bnls, ibp (cangus)",15191012,NOT_FOUND,0.874596118927002,0.8745957220331918,False
"ball-tip bnls, ibp (ch)",15191014,185 1 Ball tips,"ball-tip bnls, national (ch)",15191024,NOT_FOUND,0.8348863124847412,0.8348858064737453,False
"ball-tip bnls, ibp (ch)",15191014,185 1 Ball tips,"ball-tip bnls, swift (ch)",15193354,NOT_FOUND,0.7989457249641418,0.7989456701577256,False
"ball-tip bnls, ibp (ch)",15191014,185 1 Ball tips,"ball-tip bnls, greateromaha (ch)",15191004,NOT_FOUND,0.7819989919662476,0.7819984977483594,False
"ball-tip bnls, ibp (ch)",15191014,185 1 Ball tips,"ball-tip bnls, national (cangus)",15191022,NOT_FOUND,0.7327061295509338,0.7327056623029136,False
beef ball tips ibp ch,44300,185b Ball Tip,beef ball tips 2 up,44002,NOT_FOUND,0.8930023908615112,0.8930025040252079,False
beef ball tips ibp ch,44300,185b Ball Tip,beef ball tip 2 up,13800102,NOT_FOUND,0.8187072277069092,0.8187074860814323,False
beef ball tips ibp ch,44300,185b Ball Tip,beef loin ball tip choice-2 up,13800403,185b Ball Tip,0.8067882657051086,0.8067880106487242,True
beef ball tips ibp ch,44300,185b Ball Tip,beef loin ball tip choice pinned,13800405,NOT_FOUND,0.8065146803855896,0.8065141757769594,False
beef ball tips ibp ch,44300,185b Ball Tip,beef ball tip steak,13802713,NOT_FOUND,0.805188000202179,0.8051879507720823,False
beef boneless rib lifter meat choice,12400400,Cap & Wedge,beef lifter meat choice,43725,NOT_FOUND,0.8230380415916443,0.8230380460643283,False
beef boneless rib lifter meat choice,12400400,Cap & Wedge,beef ribeye steak boneless choice,12131415,NOT_FOUND,0.8030936121940613,0.803093713695056,False
beef boneless rib lifter meat choice,12400400,Cap & Wedge,beef plate short ribs boneless choice,16312400,NOT_FOUND,0.7738138437271118,0.7738136551433948,False
beef boneless rib lifter meat choice,12400400,Cap & Wedge,beef chuck short ribs choice boneless,11321440,NOT_FOUND,0.771740734577179,0.7717406596851468,False
